n,num_processes,Execution_Time
10,1,0.52228
10,2,0.592107
10,3,0.581607
10,4,0.576091
10,5,0.644607
10,6,0.619765
10,7,0.574334
10,8,0.651831
10,9,0.614833
10,10,0.735309
10,11,0.740774
10,12,0.678714
10,13,0.755718
10,14,0.72337
10,15,0.749352
10,16,0.819874
10,17,0.638891
10,18,0.61802
10,19,0.774258
10,20,0.810011
10,21,0.829608
10,22,0.86593
10,23,0.715995
10,24,0.91894
100,1,0.539708
100,2,0.602735
100,3,0.595086
100,4,0.577064
100,5,0.621419
100,6,0.587186
100,7,0.613415
100,8,0.678603
100,9,0.591587
100,10,0.660075
100,11,0.601966
100,12,0.706449
100,13,0.744867
100,14,0.707372
100,15,0.816892
100,16,0.725252
100,17,0.764629
100,18,0.874236
100,19,0.913062
100,20,0.676937
100,21,0.633175
100,22,0.88117
100,23,0.875128
100,24,0.951725
1000,1,0.525809
1000,2,0.568562
1000,3,0.586438
1000,4,0.572334
1000,5,0.643053
1000,6,0.647254
1000,7,0.577432
1000,8,0.616996
1000,9,0.571753
1000,10,0.683706
1000,11,0.688727
1000,12,0.746717
1000,13,0.727452
1000,14,0.767908
1000,15,0.805908
1000,16,0.778238
1000,17,0.595369
1000,18,0.819314
1000,19,0.82971
1000,20,0.649808
1000,21,0.830339
1000,22,0.840086
1000,23,0.641578
1000,24,0.808036
10000,1,0.53152
10000,2,0.586067
10000,3,0.540443
10000,4,0.584989
10000,5,0.582856
10000,6,0.591853
10000,7,0.547655
10000,8,0.642778
10000,9,0.614425
10000,10,0.699316
10000,11,0.730313
10000,12,0.712518
10000,13,0.73528
10000,14,0.788401
10000,15,0.787944
10000,16,0.776013
10000,17,0.846261
10000,18,0.797386
10000,19,0.861992
10000,20,0.850876
10000,21,0.89027
10000,22,0.779777
10000,23,0.925641
10000,24,0.895371
100000,1,0.51294
100000,2,0.622907
100000,3,0.595228
100000,4,0.583161
100000,5,0.57706
100000,6,0.623936
100000,7,0.64866
100000,8,0.642975
100000,9,0.595372
100000,10,0.700472
100000,11,0.754052
100000,12,0.703994
100000,13,0.720352
100000,14,0.722162
100000,15,0.749618
100000,16,0.792727
100000,17,0.636588
100000,18,0.629056
100000,19,0.825627
100000,20,0.859821
100000,21,0.922432
100000,22,0.89889
100000,23,0.916628
100000,24,0.880561
1000000,1,0.515849
1000000,2,0.611456
1000000,3,0.531075
1000000,4,0.585196
1000000,5,0.594552
1000000,6,0.587283
1000000,7,0.639615
1000000,8,0.644248
1000000,9,0.578707
1000000,10,0.638268
1000000,11,0.698788
1000000,12,0.6087
1000000,13,0.591316
1000000,14,0.753717
1000000,15,0.803043
1000000,16,0.78367
1000000,17,0.837564
1000000,18,0.840409
1000000,19,0.820981
1000000,20,0.649978
1000000,21,0.888569
1000000,22,0.734316
1000000,23,0.908653
1000000,24,0.924265
10000000,1,0.601845
10000000,2,0.594574
10000000,3,0.57989
10000000,4,0.625298
10000000,5,0.634867
10000000,6,0.607687
10000000,7,0.648689
10000000,8,0.649725
10000000,9,0.696909
10000000,10,0.695625
10000000,11,0.715668
10000000,12,0.639411
10000000,13,0.601361
10000000,14,0.722824
10000000,15,0.786268
10000000,16,0.791341
10000000,17,0.794474
10000000,18,0.6441
10000000,19,0.630863
10000000,20,0.823293
10000000,21,0.678734
10000000,22,0.885612
10000000,23,0.901471
10000000,24,0.939897
100000000,1,1.43407
100000000,2,1.19886
100000000,3,1.12166
100000000,4,1.08085
100000000,5,1.10011
100000000,6,1.01702
100000000,7,1.11338
100000000,8,1.17773
100000000,9,1.13403
100000000,10,1.05458
100000000,11,1.09066
100000000,12,1.11031
100000000,13,1.01982
100000000,14,1.11803
100000000,15,1.07742
100000000,16,0.938881
100000000,17,0.943067
100000000,18,1.12539
100000000,19,1.00991
100000000,20,1.06684
100000000,21,0.894918
100000000,22,1.09944
100000000,23,1.08671
100000000,24,1.08092
1000000000,1,11.0625
1000000000,2,8.41238
1000000000,3,6.99742
1000000000,4,6.67263
1000000000,5,6.80665
1000000000,6,7.23448
1000000000,7,7.09891
1000000000,8,6.96347
1000000000,9,6.95949
1000000000,10,6.95844
1000000000,11,6.80991
1000000000,12,6.85866
1000000000,13,6.81408
1000000000,14,6.84673
1000000000,15,6.27099
1000000000,16,6.28535
1000000000,17,6.47095
1000000000,18,6.94261
1000000000,19,6.84584
1000000000,20,6.43677
1000000000,21,6.52746
1000000000,22,6.67967
1000000000,23,6.99457
1000000000,24,6.77672
