n,num_threads,segment_size,Execution_Time
100000000,1,1000,0.66629
100000000,1,10000,0.154699
100000000,1,100000,0.188681
100000000,1,1000000,0.168196
100000000,1,10000000,0.370433
100000000,2,1000,0.363225
100000000,2,10000,0.0875166
100000000,2,100000,0.0844059
100000000,2,1000000,0.0948614
100000000,2,10000000,0.255238
100000000,3,1000,0.255719
100000000,3,10000,0.0595791
100000000,3,100000,0.0571622
100000000,3,1000000,0.0663923
100000000,3,10000000,0.210046
100000000,4,1000,0.197342
100000000,4,10000,0.0467637
100000000,4,100000,0.0431523
100000000,4,1000000,0.0516191
100000000,4,10000000,0.228081
100000000,5,1000,0.160079
100000000,5,10000,0.0391325
100000000,5,100000,0.039514
100000000,5,1000000,0.0458125
100000000,5,10000000,0.271425
100000000,6,1000,0.150669
100000000,6,10000,0.0371677
100000000,6,100000,0.0365095
100000000,6,1000000,0.045235
100000000,6,10000000,0.315224
100000000,7,1000,0.124442
100000000,7,10000,0.0314681
100000000,7,100000,0.0364576
100000000,7,1000000,0.0419667
100000000,7,10000000,0.349614
100000000,8,1000,0.126517
100000000,8,10000,0.030102
100000000,8,100000,0.0310879
100000000,8,1000000,0.0435905
100000000,8,10000000,0.392747
100000000,9,1000,0.105221
100000000,9,10000,0.0266099
100000000,9,100000,0.0317342
100000000,9,1000000,0.0403285
100000000,9,10000000,0.416656
100000000,10,1000,0.098717
100000000,10,10000,0.0247109
100000000,10,100000,0.0293506
100000000,10,1000000,0.0422327
100000000,10,10000000,0.395461
100000000,11,1000,0.111325
100000000,11,10000,0.0263108
100000000,11,100000,0.0293073
100000000,11,1000000,0.0477737
100000000,11,10000000,0.462262
100000000,12,1000,0.0876514
100000000,12,10000,0.0221384
100000000,12,100000,0.0277155
100000000,12,1000000,0.0452165
100000000,12,10000000,0.413112
100000000,13,1000,0.0806632
100000000,13,10000,0.0207878
100000000,13,100000,0.0284345
100000000,13,1000000,0.0406321
100000000,13,10000000,0.398578
100000000,14,1000,0.077929
100000000,14,10000,0.0199666
100000000,14,100000,0.0248886
100000000,14,1000000,0.0401653
100000000,14,10000000,0.416648
100000000,15,1000,0.0745082
100000000,15,10000,0.0193413
100000000,15,100000,0.0248744
100000000,15,1000000,0.0398876
100000000,15,10000000,0.419568
100000000,16,1000,0.073253
100000000,16,10000,0.0186801
100000000,16,100000,0.0335154
100000000,16,1000000,0.041779
100000000,16,10000000,0.431131
100000000,17,1000,0.0811039
100000000,17,10000,0.0209528
100000000,17,100000,0.0266077
100000000,17,1000000,0.0402741
100000000,17,10000000,0.423661
100000000,18,1000,0.0723555
100000000,18,10000,0.0193687
100000000,18,100000,0.0259823
100000000,18,1000000,0.0384059
100000000,18,10000000,0.416532
100000000,19,1000,0.0731598
100000000,19,10000,0.0195328
100000000,19,100000,0.0264743
100000000,19,1000000,0.037089
100000000,19,10000000,0.461539
100000000,20,1000,0.0728807
100000000,20,10000,0.0209458
100000000,20,100000,0.0274621
100000000,20,1000000,0.0401895
100000000,20,10000000,0.482472
100000000,21,1000,0.0719809
100000000,21,10000,0.0193133
100000000,21,100000,0.0273815
100000000,21,1000000,0.0384402
100000000,21,10000000,0.494633
100000000,22,1000,0.074038
100000000,22,10000,0.0212634
100000000,22,100000,0.0293716
100000000,22,1000000,0.0406701
100000000,22,10000000,0.485981
100000000,23,1000,0.0761569
100000000,23,10000,0.0260222
100000000,23,100000,0.0326899
100000000,23,1000000,0.041095
100000000,23,10000000,0.50895
100000000,24,1000,0.0775864
100000000,24,10000,0.0208205
100000000,24,100000,0.0294118
100000000,24,1000000,0.0408807
100000000,24,10000000,0.471705
