n,num_threads,Execution_Time
10,1,0.00286232
10,2,0.00344654
10,3,0.00341856
10,4,0.00454359
10,5,0.00407274
10,6,0.00463578
10,7,0.00486125
10,8,0.0050641
10,9,0.0108254
10,10,0.0206537
10,11,0.0148168
10,12,0.0210988
10,13,0.0215198
10,14,0.0412986
10,15,0.0322157
10,16,0.0256739
10,17,0.00307858
10,18,0.0031206
10,19,0.00325865
10,20,0.00410564
10,21,0.00383582
10,22,0.00364595
10,23,0.00387826
10,24,0.00406071
100,1,0.00332993
100,2,0.00267748
100,3,0.0024315
100,4,0.00272925
100,5,0.00282703
100,6,0.00294051
100,7,0.00296457
100,8,0.017394
100,9,0.0080427
100,10,0.0242665
100,11,0.0173797
100,12,0.0269383
100,13,0.0348559
100,14,0.0382058
100,15,0.0339297
100,16,0.0315434
100,17,0.00332253
100,18,0.00342469
100,19,0.00466843
100,20,0.00347103
100,21,0.00332293
100,22,0.00343301
100,23,0.00455569
100,24,0.00469419
1000,1,0.00359432
1000,2,0.00383844
1000,3,0.00500732
1000,4,0.00676725
1000,5,0.00530852
1000,6,0.00573611
1000,7,0.0091739
1000,8,0.00689791
1000,9,0.0146412
1000,10,0.0163239
1000,11,0.0200017
1000,12,0.020124
1000,13,0.0241343
1000,14,0.0268937
1000,15,0.0262099
1000,16,0.0242708
1000,17,0.00345998
1000,18,0.00443212
1000,19,0.00371874
1000,20,0.00430115
1000,21,0.0034158
1000,22,0.00403592
1000,23,0.00444407
1000,24,0.00626506
10000,1,0.00313269
10000,2,0.00447174
10000,3,0.00312691
10000,4,0.00309962
10000,5,0.00824851
10000,6,0.00232398
10000,7,0.00810801
10000,8,0.00371736
10000,9,0.0278082
10000,10,0.0173639
10000,11,0.0169237
10000,12,0.0196965
10000,13,0.0261675
10000,14,0.0174207
10000,15,0.0404556
10000,16,0.0385655
10000,17,0.00346038
10000,18,0.00338303
10000,19,0.00321888
10000,20,0.00615926
10000,21,0.0034404
10000,22,0.00348834
10000,23,0.00350737
10000,24,0.00458945
100000,1,0.00297955
100000,2,0.00326241
100000,3,0.00295108
100000,4,0.0027741
100000,5,0.00236804
100000,6,0.00278748
100000,7,0.00564277
100000,8,0.00629276
100000,9,0.0188927
100000,10,0.0235756
100000,11,0.0166747
100000,12,0.01765
100000,13,0.0297344
100000,14,0.0359576
100000,15,0.0293375
100000,16,0.0479054
100000,17,0.00325307
100000,18,0.00310697
100000,19,0.00584165
100000,20,0.00382776
100000,21,0.00385993
100000,22,0.00376735
100000,23,0.00669808
100000,24,0.00600933
1000000,1,0.00617602
1000000,2,0.0041437
1000000,3,0.00451259
1000000,4,0.00511586
1000000,5,0.00286954
1000000,6,0.0029329
1000000,7,0.00892444
1000000,8,0.0121589
1000000,9,0.0135052
1000000,10,0.0201144
1000000,11,0.0148161
1000000,12,0.0209759
1000000,13,0.0209008
1000000,14,0.0256414
1000000,15,0.0234849
1000000,16,0.0303973
1000000,17,0.00398208
1000000,18,0.00378551
1000000,19,0.00445551
1000000,20,0.00522844
1000000,21,0.00408518
1000000,22,0.00381406
1000000,23,0.00643715
1000000,24,0.00426832
10000000,1,0.015792
10000000,2,0.00962154
10000000,3,0.0080387
10000000,4,0.00829405
10000000,5,0.00966304
10000000,6,0.0107872
10000000,7,0.00759499
10000000,8,0.00963514
10000000,9,0.0155122
10000000,10,0.0224128
10000000,11,0.0222486
10000000,12,0.02238
10000000,13,0.0195117
10000000,14,0.0251933
10000000,15,0.0331071
10000000,16,0.0309695
10000000,17,0.00821533
10000000,18,0.00688638
10000000,19,0.00812487
10000000,20,0.00710689
10000000,21,0.00807402
10000000,22,0.00941183
10000000,23,0.00732736
10000000,24,0.00816735
100000000,1,0.178044
100000000,2,0.0815742
100000000,3,0.0653459
100000000,4,0.0522736
100000000,5,0.0469033
100000000,6,0.0404285
100000000,7,0.044933
100000000,8,0.0360415
100000000,9,0.0379124
100000000,10,0.0445806
100000000,11,0.0796175
100000000,12,0.0438754
100000000,13,0.0544739
100000000,14,0.0536496
100000000,15,0.0571776
100000000,16,0.0571161
100000000,17,0.0323606
100000000,18,0.0317808
100000000,19,0.0343493
100000000,20,0.0319291
100000000,21,0.0342658
100000000,22,0.0333846
100000000,23,0.0323913
100000000,24,0.0325057
1000000000,1,1.8083
1000000000,2,0.970353
1000000000,3,0.668537
1000000000,4,0.51385
1000000000,5,0.425095
1000000000,6,0.390302
1000000000,7,0.387017
1000000000,8,0.36676
1000000000,9,0.371571
1000000000,10,0.33945
1000000000,11,0.331679
1000000000,12,0.334445
1000000000,13,0.322086
1000000000,14,0.319548
1000000000,15,0.314845
1000000000,16,0.323598
1000000000,17,0.308375
1000000000,18,0.312615
1000000000,19,0.303461
1000000000,20,0.313951
1000000000,21,0.304212
1000000000,22,0.287955
1000000000,23,0.301715
1000000000,24,0.293911
